study,n1,m1,s1,n2,m2,s2,md,sd,se,cohen_d,cohen_se,g
Mitsui2003,7,23.2,4.2,5,39,7.4,-15.8,5.699824559,3.337,-2.772015145,0.814264479,1
Mitsui2005a,12,28.2,0.9,11,35.9,1.4,-7.7,1.165169107,0.486,-6.608482798,1.06001637,1
Mitsui2005b,8,27.9,2,10,33.4,1.2,-5.5,1.6,0.759,-3.4375,0.743796684,1
Mitsui2011,10,27.9,2,9,36.1,2.7,-8.2,2.35546923,1.082,-3.481259655,0.728036129,1
Telmeltas2009_1,10,43.4,5.71,5,61.8,9.41,-18.4,7.058161125,3.866,-2.606911301,0.725625857,0
Telmeltas2009_2,9,53.1,7.88,5,61.8,9.41,-8.7,8.420944128,4.697,-1.033138312,0.590958238,0
WBPark2010_1,9,9.7,4.11,11,9.6,4.2,0.1,4.160240378,1.87,0.024037073,0.449482643,1
WBPark2010_2,6,10.33,4.5,9,8.11,7.39,2.22,6.433965161,3.391,0.345043833,0.530797783,1
YHu2012,8,33.82,3.79,8,40.74,3.97,-6.92,3.881043674,1.941,-1.783025542,0.591057846,0
YingJin2011_1,9,36.21,1.72,10,42.32,4.07,-6.11,3.187764291,1.465,-1.916703822,0.554787199,1
YingJin2011_2,6,37.21,2.04,10,42.32,4.07,-5.11,3.483554219,1.799,-1.466892627,0.577849118,1
